DATE,CLL
08/26/2008,597.670000
08/27/2008,600.680000
08/28/2008,607.480000
08/29/2008,600.960000
09/02/2008,599.390000
09/03/2008,597.730000
09/04/2008,588.580000
09/05/2008,588.850000
09/08/2008,595.210000
09/09/2008,585.600000
09/10/2008,586.190000
09/11/2008,589.150000
09/12/2008,590.240000
09/15/2008,579.830000
09/16/2008,583.010000
09/17/2008,580.660000
09/18/2008,584.240000
09/19/2008,581.770000
09/23/2008,542.120000
09/24/2008,541.130000
09/25/2008,545.510000
09/26/2008,547.270000
09/29/2008,521.940000
09/30/2008,536.620000
10/01/2008,536.580000
10/02/2008,529.340000
10/03/2008,525.230000
10/06/2008,518.280000
10/07/2008,514.470000
10/08/2008,514.950000
10/09/2008,508.230000
10/10/2008,509.040000
10/13/2008,512.200000
10/14/2008,514.100000
10/15/2008,511.940000
10/16/2008,512.260000
10/17/2008,512.580000
10/20/2008,511.790000
10/21/2008,515.760000
10/22/2008,515.680000
10/23/2008,517.080000
10/24/2008,519.220000
10/27/2008,520.460000
10/28/2008,516.530000
10/29/2008,521.040000
10/30/2008,516.570000
10/31/2008,515.270000
11/03/2008,518.730000
11/04/2008,516.070000
11/05/2008,520.270000
11/06/2008,521.140000
11/07/2008,521.540000
11/10/2008,521.540000
11/11/2008,522.320000
11/12/2008,522.050000
11/13/2008,521.440000
11/14/2008,523.260000
11/17/2008,523.180000
11/18/2008,523.150000
11/19/2008,521.960000
11/20/2008,522.330000
12/01/2008,515.670000
12/02/2008,508.000000
12/03/2008,503.690000
12/04/2008,511.740000
12/05/2008,503.720000
12/08/2008,494.360000
12/09/2008,501.460000
12/10/2008,499.730000
12/11/2008,509.240000
12/12/2008,507.980000
12/15/2008,512.150000
12/16/2008,495.410000
12/17/2008,500.010000
12/18/2008,507.790000
12/22/2008,500.090000
12/23/2008,497.970000
12/24/2008,499.020000
12/26/2008,499.910000
12/29/2008,498.770000
12/30/2008,504.390000
12/31/2008,507.430000
01/02/2009,515.660000
01/05/2009,513.680000
01/06/2009,516.200000
01/07/2009,508.670000
01/08/2009,509.820000
01/09/2009,502.990000
01/12/2009,497.560000
01/13/2009,497.170000
01/14/2009,489.830000
01/15/2009,489.110000
01/20/2009,481.060000
01/21/2009,486.280000
01/22/2009,483.270000
01/23/2009,483.670000
01/26/2009,483.720000
01/27/2009,484.220000
01/28/2009,490.640000
01/29/2009,483.900000
01/30/2009,479.300000
02/02/2009,479.020000
02/03/2009,480.970000
02/04/2009,479.450000
02/05/2009,483.150000
02/06/2009,489.410000
02/09/2009,489.160000
02/10/2009,478.480000
02/11/2009,479.120000
02/12/2009,478.430000
